"uscode","naics","lfo","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","f1_4","e1_4nf","e1_4","q1_4nf","q1_4","a1_4nf","a1_4","n1_4","f5_9","e5_9nf","e5_9","q5_9nf","q5_9","a5_9nf","a5_9","n5_9","f10_19","e10_19nf","e10_19","q10_19nf","q10_19","a10_19nf","a10_19","n10_19","f20_49","e20_49nf","e20_49","q20_49nf","q20_49","a20_49nf","a20_49","n20_49","f50_99","e50_99nf","e50_99","q50_99nf","q50_99","a50_99nf","a50_99","n50_99","f100_249","e100_249nf","e100_249","q100_249nf","q100_249","a100_249nf","a100_249","n100_249","f250_499","e250_499nf","e250_499","q250_499nf","q250_499","a250_499nf","a250_499","n250_499","f500_999","e500_999nf","e500_999","q500_999nf","q500_999","a500_999nf","a500_999","n500_999","f1000","e1000nf","e1000","q1000nf","q1000","a1000nf","a1000","n1000"
"98","31213/","O","A","S",0,"S",0,"H",942,5,"A","S",0,"S",0,"H",132,4,,"G",0,"G",0,"G",0,0,"A","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
"98","312130","-",,"G",37896,"G",449220,"G",1844423,2631,,"G",2139,"G",12644,"G",74451,1232,,"G",3745,"G",23810,"G",110873,561,,"G",5424,"G",40363,"G",179180,393,,"G",9438,"G",83786,"G",357539,318,,"G",5295,"G",62284,"G",271007,78,,"G",5071,"G",72045,"G",306368,37,,"G",3009,"H",59434,"G",208054,9,"G","D",0,"D",0,"D",0,2,"G","D",0,"D",0,"D",0,1
"98","312130","C",,"G",13805,"G",216563,"G",849666,431,,"G",216,"H",1651,"H",12973,133,,"G",479,"G",3847,"G",17155,73,,"G",1010,"G",8702,"G",39358,73,,"G",2839,"G",27042,"G",118233,96,,"G",2450,"G",28225,"G",147421,35,,"G",2156,"G",34344,"G",150368,14,,"G",1660,"H",33729,"G",117418,5,"F","D",0,"D",0,"D",0,1,"G","D",0,"D",0,"D",0,1
"98","312130","Z",,"G",12029,"G",126238,"G",545931,885,,"G",738,"G",4471,"G",24546,420,,"G",1216,"G",7680,"G",37096,179,,"G",1953,"G",12920,"G",58158,141,,"G",3130,"G",24460,"G",105727,105,,"G",1634,"G",16606,"G",64423,25,,"H",1533,"H",22476,"H",89472,11,,"H",1045,"H",21794,"H",76298,3,"F","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0
"98","312130","S",,"H",1107,"H",6085,"H",30328,236,,"G",244,"G",1194,"G",6566,152,,"H",362,"H",1655,"H",7920,58,,"G",224,"G",1109,"G",5174,17,,"H",166,"H",877,"H",4589,7,"C","D",0,"D",0,"D",0,2,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
"98","312130","P",,"G",10928,"G",100052,"G",417132,1070,,"G",937,"G",5291,"G",30098,520,,"G",1682,"G",10553,"G",48414,250,,"G",2220,"G",17462,"G",75680,161,,"G",3303,"G",31407,"G",128990,110,,"G",1100,"H",16203,"G",53084,16,,"G",1382,"G",15225,"G",66528,12,"E","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
"98","312130","N","A","S",0,"H",102,"G",424,4,,"G",2,"H",27,"H",136,3,"A","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
"98","312130","O","A","S",0,"S",0,"H",942,5,"A","S",0,"S",0,"H",132,4,,"G",0,"G",0,"G",0,0,"A","D",0,"D",0,"D",0,1,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
"98","31214/","-",,"G",6920,"G",97759,"G",416132,249,,"G",193,"G",1372,"G",8351,131,,"G",247,"G",2544,"G",10968,35,,"H",452,"G",4195,"H",17907,33,,"G",619,"G",6373,"G",27444,21,,"H",686,"H",8775,"H",37441,9,,"G",1902,"G",29156,"G",114114,11,,"H",2821,"H",45344,"H",199907,9,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
"98","31214/","C",,"G",5128,"H",75874,"H",323919,74,"B","S",0,"G",195,"G",1230,22,,"H",48,"G",478,"G",2095,7,,"H",150,"H",1916,"H",8019,11,,"G",342,"H",3929,"H",16835,12,"E","D",0,"D",0,"D",0,5,,"H",1318,"H",18797,"H",73966,8,,"H",2821,"H",45344,"H",199907,9,,"G",0,"G",0,"G",0,0,,"G",0,"G",0,"G",0,0
